<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379582>	"Ailuridae"	<http://identifiers.org/taxonomy/9649>	"Ailurus fulgens"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379589>	"Eupleridae"	<http://identifiers.org/taxonomy/143320>	"Fossa fossana"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379589>	"Eupleridae"	<http://identifiers.org/taxonomy/61400>	"Galidia elegans"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379589>	"Eupleridae"	<http://identifiers.org/taxonomy/215636>	"Galidictis fasciata"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379589>	"Eupleridae"	<http://identifiers.org/taxonomy/205649>	"Mungotictis decemlineata"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379589>	"Eupleridae"	<http://identifiers.org/taxonomy/219105>	"Salanoia concolor"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/379589>	"Eupleridae"	<http://identifiers.org/taxonomy/868860>	"Salanoia sp. SMF-2010"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/32536>	"Acinonyx jubatus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61394>	"Caracal caracal"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61454>	"Catopuma badia"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61455>	"Catopuma temminckii"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/9685>	"Felis catus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61376>	"Felis chaus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61378>	"Felis margarita"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61379>	"Felis nigripes"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/9683>	"Felis silvestris"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/9687>	"Felis sp."
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/320633>	"Felis sp. NG192"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/2048657>	"Homotherium latidens"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/339614>	"Homotherium serum"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61406>	"Leopardus colocolo"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/46844>	"Leopardus geoffroyi"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61386>	"Leopardus guigna"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/1608501>	"Leopardus guttulus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/713925>	"Leopardus jacobita"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/32538>	"Leopardus pardalis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/46842>	"Leopardus tigrinus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61382>	"Leopardus wiedii"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61405>	"Leptailurus serval"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/1403448>	"Leptailurus serval x Caracal caracal"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61383>	"Lynx canadensis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/1002257>	"Lynx environmental sample"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/13125>	"Lynx lynx"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/191816>	"Lynx pardinus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61384>	"Lynx rufus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/339612>	"Miracinonyx trumani"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/427616>	"Neofelis diardi"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61452>	"Neofelis nebulosa"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61408>	"Otocolobus manul"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/9689>	"Panthera leo"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/235915>	"Panthera leo x Panthera tigris"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/9690>	"Panthera onca"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/9691>	"Panthera pardus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/9694>	"Panthera tigris"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/29064>	"Panthera uncia"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61410>	"Pardofelis marmorata"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/37029>	"Prionailurus bengalensis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/37030>	"Prionailurus iriomotensis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61403>	"Prionailurus planiceps"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61387>	"Prionailurus rubiginosus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61388>	"Prionailurus viverrinus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/61412>	"Profelis aurata"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/9696>	"Puma concolor"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/1608482>	"Puma yagouaroundi"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/13266>	"Smilodon fatalis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9681>	"Felidae"	<http://identifiers.org/taxonomy/339609>	"Smilodon populator"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/210642>	"Atilax paludinosus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/326576>	"Bdeogale crassicauda"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/2023135>	"Bdeogale jacksoni"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/326577>	"Bdeogale nigripes"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/210643>	"Crossarchus alexandri"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/1433718>	"Crossarchus ansorgei"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/71111>	"Crossarchus obscurus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/1096449>	"Crossarchus platycephalus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/41010>	"Cynictis penicillata"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/1230391>	"Galerella nigrata"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/1230393>	"Galerella nigrata x sanguinea"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/55052>	"Galerella pulverulenta"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/210644>	"Galerella sanguinea"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/210646>	"Helogale hirtula"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/210647>	"Helogale parvula"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/643831>	"Herpestes brachyurus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/643830>	"Herpestes fuscus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/9700>	"Herpestes ichneumon"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/210648>	"Herpestes naso"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/1585997>	"Herpestes semitorquatus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/643832>	"Herpestes smithii"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/328699>	"Herpestes urva"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/643833>	"Herpestes vitticollis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/373387>	"Herpestinae sp. PAML-2006"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/205599>	"Ichneumia albicauda"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/210650>	"Liberiictis kuhni"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/210652>	"Mungos mungo"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/311560>	"Paracynictis selousi"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/210654>	"Rhynchogale melleri"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/37032>	"Suricata suricatta"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/48418>	"Urva auropunctata"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/39705>	"Urva edwardsii"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9697>	"Herpestidae"	<http://identifiers.org/taxonomy/140016>	"Urva javanica"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9676>	"Hyaenidae"	<http://identifiers.org/taxonomy/9678>	"Crocuta crocuta"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9676>	"Hyaenidae"	<http://identifiers.org/taxonomy/95912>	"Hyaena hyaena"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9676>	"Hyaenidae"	<http://identifiers.org/taxonomy/172271>	"Parahyaena brunnea"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9676>	"Hyaenidae"	<http://identifiers.org/taxonomy/9680>	"Proteles cristata"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/30542>	"Conepatus chinga"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/30543>	"Conepatus leuconotus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/30544>	"Conepatus mesoleucus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/298411>	"Conepatus semistriatus"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/1566867>	"Conepatus sp."
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/30547>	"Mephitis macroura"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/30548>	"Mephitis mephitis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/311557>	"Mydaus javanensis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/55045>	"Mydaus marchei"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/30551>	"Spilogale gracilis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/30552>	"Spilogale putorius"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/119825>	"Mephitidae"	<http://identifiers.org/taxonomy/2019457>	"Spilogale pygmaea"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9655>	"Mustelidae"	<http://identifiers.org/taxonomy/76722>	"Aonyx capensis"
<http://identifiers.org/taxonomy/33554>	"Carnivora"	<http://identifiers.org/taxonomy/9655>	"Mustelidae"	<http://identifiers.org/taxonomy/452597>	"Aonyx cinerea"
